"sku","storeid","cost","retail","sksinfo.zero"
7770795,3407,45.0,75.0,0
8090401,8504,7.5,28.0,0
290758,2007,41.52,120.0,0
1718825,203,7.5,19.75,0
8759379,4102,4.57,12.0,0
6478615,5204,17.75,39.0,0
200945,504,8.5,18.0,0
8793665,8403,9.0,20.0,0
9159152,209,15.96,44.0,0
5866498,5602,10.4,5.99,0
9771725,502,8.75,24.0,0
8729760,1904,9.0,20.0,0
4571683,6604,2.9,18.0,0
2181712,3302,32.5,65.0,0
3364412,1403,79.5,29.99,0
6359819,2609,16.5,59.5,0
3990518,404,32.0,68.0,0
8600315,9804,11.5,34.0,0
753929,2109,17.75,10.0,0
8087052,9409,6.75,9.99,0
4890069,5302,10.78,32.0,0
3389286,707,34.75,69.5,0
2968575,3003,15.75,11.0,0
261297,7707,16.5,39.0,0
6538011,103,8.4,14.0,0
6980165,1507,7.29,20.0,0
7493127,2604,9.0,20.0,0
799439,2109,14.0,34.0,0
3236338,7604,14.0,9.0,0
9291172,8109,4.0,14.0,0
997392,4409,11.2,7.0,0
7090209,7704,42.5,85.0,0
4789949,509,12.8,38.0,0
9971211,8109,10.04,36.0,0
8057668,1509,19.06,27.0,0
3270834,4107,16.28,44.0,0
3700214,3502,42.5,85.0,0
368004,3607,27.6,34.5,0
9948882,3403,24.0,12.25,1
6259671,2307,12.92,34.0,0
9057241,7303,5.65,26.25,0
5641379,3807,40.5,89.0,0
3417789,3102,7.28,6.25,0
1217349,8209,2.8,7.0,0
7688172,4109,70.68,47.0,0
9491759,104,8.5,39.5,0
5520122,6002,39.5,139.0,0
3219695,8607,14.34,39.0,0
1507351,3007,18.21,12.25,0
377855,2602,43.5,29.5,0
1448731,1207,36.9,9.99,0
3277268,5502,24.99,14.88,0
9077456,2409,35.5,39.5,1
9838634,3509,1.82,3.99,0
5476642,2404,8.8,5.5,0
8883663,2204,21.25,4.99,0
6620167,8407,2.44,15.0,0
1800606,4309,6.5,20.0,0
7789177,3003,28.5,14.75,0
7960021,1202,78.0,156.0,0
1936769,7804,13.12,7.25,0
3663991,6900,21.85,46.0,0
3079458,4202,5.5,18.0,0
4767568,1702,69.6,139.25,0
8159479,5404,16.28,44.0,0
1859408,5803,6.5,6.49,0
1367856,4007,28.5,19.5,0
7867419,7902,10.0,10.0,0
1297776,5302,18.86,12.0,0
1172658,4203,9.3,20.0,0
8719233,904,8.0,16.0,0
5842071,3103,16.7,72.0,0
498874,1107,3.48,5.0,0
8568120,2209,3.84,3.99,0
9720957,909,12.5,32.0,0
2429917,7603,6.56,10.25,0
5312581,3402,27.0,45.0,0
2819166,1207,17.25,35.0,0
5260010,5604,12.51,36.0,0
58835,304,11.0,29.0,0
6086853,309,10.0,28.0,0
3591040,5103,89.0,189.0,0
8538651,7107,594.0,1350.0,1
2797624,507,20.5,12.5,0
7736716,9709,24.0,15.0,0
7037364,7404,22.09,19.99,0
3889536,5604,33.71,89.0,0
3731157,7303,26.0,54.0,0
7758945,6203,13.0,14.99,0
9286528,2209,130.0,69.75,0
7041394,7003,22.75,50.0,0
7710527,3007,13.0,28.0,0
7269152,402,11.51,32.0,0
2078695,2109,11.75,15.0,0
3800255,3507,4.7,14.0,0
5191017,1404,28.8,54.0,0
2924045,4204,18.7,11.5,0
5509484,9202,20.0,40.0,0
2780199,1407,34.75,69.5,0
6788187,5602,16.83,19.99,0
7994678,5704,17.47,42.0,0
8289531,502,29.75,59.5,0
9537634,4802,19.0,12.25,0
4061401,6903,13.75,36.0,0
2780311,6402,35.75,85.0,0
3661184,8902,17.0,49.0,0
8560123,3307,2.5,7.0,0
2276434,6503,32.5,39.99,0
908239,4102,10.79,15.0,0
7076782,6704,9.0,17.5,0
3771274,9609,2.35,7.0,0
480715,9103,35.0,74.0,0
4258754,6402,6.3,13.5,0
7527369,8602,12.0,17.5,0
5749605,2007,9.24,22.0,0
1608576,5504,6.0,16.0,0
6180045,507,8.72,13.0,0
939987,1709,10.0,32.0,0
4170354,509,30.0,69.0,1
6299480,3307,20.15,54.0,0
1647346,6204,16.28,9.75,0
3697904,4309,12.0,7.5,0
8837453,8102,15.05,8.75,0
9448608,6804,17.25,38.0,0
40533,4903,45.0,98.0,1
6667668,4409,21.15,24.0,0
7078699,1003,23.37,39.53,0
3703562,907,12.0,7.5,0
1047912,3209,21.0,11.0,0
4279870,1009,7.2,16.0,0
5978785,2103,30.5,32.5,0
5001108,8702,16.0,34.0,0
3509099,1002,9.5,6.5,0
9607567,6604,10.07,21.25,0
9787617,4103,29.75,29.75,0
1059842,3707,12.5,28.0,0
4298836,2104,23.45,50.0,0
6377419,9709,13.75,14.99,0
3230404,2107,17.75,39.5,0
2728420,6202,6.25,4.0,0
46823,6302,10.0,17.5,0
7608181,4702,15.0,19.99,0
1967459,4804,225.0,595.0,0
4778051,1102,4.25,9.0,0
370178,2809,15.5,39.0,0
6968075,7702,11.0,7.25,0
5428274,2704,50.0,49.5,0
4118147,2502,16.0,19.0,0
2168125,909,27.95,44.0,0
8696610,107,1.3,0.99,0
767545,2307,25.03,55.0,0
4681267,7402,2.16,6.0,0
9201016,4702,15.42,55.0,0
3238604,1403,8.0,9.99,0
9947621,3402,14.75,14.75,0
1618125,709,30.96,44.0,0
6639698,7507,14.5,32.5,0
1478317,3307,5.04,6.0,0
4848376,6203,15.5,9.75,0
959870,4102,41.0,88.0,0
7121335,6304,8.5,24.0,0
4898878,8403,79.5,189.0,0
7897640,2103,12.0,15.0,0
5782894,6404,68.0,74.5,0
5939653,8409,275.0,202.3,0
2471242,1003,14.75,4.99,0
1068348,6804,34.8,29.5,0
6347713,6704,9.2,19.5,0
7319782,9604,18.55,35.0,0
5398475,7507,39.75,39.75,0
2139019,4004,9.0,12.0,0
1408010,503,14.4,12.5,0
7338190,4502,9.0,14.0,0
128216,8209,22.14,13.5,0
3309582,403,36.0,79.0,1
1240212,4202,8.5,39.5,0
6379974,3303,54.0,110.0,0
6619903,2307,16.0,30.0,0
7651392,4507,14.5,34.0,0
6901237,7702,17.0,46.0,0
8648241,3109,12.35,14.5,0
4037102,2502,0.0,0.0,0
5248862,7902,18.0,30.0,0
8067789,204,34.5,49.99,1
701043,3002,16.58,48.0,0
7019550,9104,48.0,72.0,0
9498352,3107,16.2,27.0,0
210239,7407,29.61,72.0,0
8976338,1703,29.75,32.5,0
2738717,9603,18.21,24.5,0
2400629,8004,6.9,19.0,0
2997351,1904,18.21,19.5,0
920173,4807,17.5,45.0,0
6802038,2603,7.95,20.0,0
2678626,3302,6.0,7.49,0
6438437,8802,29.0,59.0,0
5598305,4203,10.75,14.99,0
3493375,2203,24.25,24.25,0
8351174,3807,12.75,29.0,0
8321122,5604,14.4,29.0,0
1888832,1502,16.0,19.5,0
8588501,4209,15.5,49.0,0
4736151,6904,17.0,9.75,0
4681090,8102,10.0,39.0,0
5827102,6703,0.0,0.0,0
848430,8007,42.63,25.0,0
2517842,5904,15.75,14.99,0
8501708,604,44.75,89.5,0
8367299,502,8.41,11.0,0
5701656,7907,11.9,38.0,0
7707026,1302,17.85,27.5,0
2153853,4707,17.5,29.99,0
178421,4307,17.5,17.5,0
9289802,5304,9.0,20.0,0
4106420,4003,15.0,19.0,0
4980093,4107,16.0,44.0,0
8009859,4707,5.21,15.0,0
8438413,4702,14.0,8.75,1
8190918,509,10.0,39.5,0
1296718,6404,9.63,7.0,0
898438,3704,27.5,59.0,1
9599373,3207,21.0,44.0,0
4650003,9604,24.0,84.0,0
9227761,6302,8.51,4.63,0
9839311,5602,22.0,12.25,1
397566,3109,21.85,45.0,0
4008764,8204,20.0,16.25,1
8669579,2202,38.0,89.0,1
1318801,3103,15.75,8.5,0
8831085,104,155.0,395.0,0
9359201,8402,23.0,29.5,0
3061580,3902,15.4,35.0,0
5651378,5403,10.22,32.0,0
6968968,4702,2.35,3.0,0
8184210,5404,12.5,12.5,0
9121911,6604,23.5,49.0,0
3698147,8707,28.06,17.25,0
3999353,4802,40.88,57.0,0
548459,7002,26.5,39.99,1
1896037,802,14.0,9.75,0
9487618,7507,49.75,49.75,0
5264793,1307,52.72,99.0,0
3721384,3507,23.75,59.0,0
1258239,1709,10.79,15.0,0
4347616,1609,26.0,29.0,0
2794396,4303,14.38,10.0,0
